epoch,lr-AdamW,step,train_loss_epoch,train_loss_step,val_loss
,0.0005,0,,,
0,,49,,3.70127010345459,
0,,99,,1.9589658975601196,
0,,149,,1.3972700834274292,
0,,199,,1.007030725479126,
0,,249,,0.8916119933128357,
0,,299,,0.8650529384613037,
0,,349,,0.8270670175552368,
0,,399,,0.7169303297996521,
0,,449,,0.5783202052116394,
0,,499,,0.5316463708877563,
0,,549,,0.6240895986557007,
0,,586,,,0.6240776777267456
0,,586,1.4281527996063232,,
,0.0005,587,,,
1,,599,,0.5586785674095154,
1,,649,,0.6512712836265564,
1,,699,,0.5050197839736938,
1,,749,,0.5814114809036255,
1,,799,,0.4065712094306946,
1,,849,,0.5100851655006409,
1,,899,,0.3357697129249573,
1,,949,,0.5692976713180542,
1,,999,,0.33927637338638306,
1,,1049,,0.3809130787849426,
1,,1099,,0.34095585346221924,
1,,1149,,0.5235087871551514,
1,,1173,,,0.40355461835861206
1,,1173,0.4273248612880707,,
,0.0005,1174,,,
2,,1199,,0.3259424865245819,
2,,1249,,0.32271087169647217,
2,,1299,,0.19473618268966675,
2,,1349,,0.5113852024078369,
2,,1399,,0.30058810114860535,
2,,1449,,0.20275147259235382,
2,,1499,,0.13851600885391235,
2,,1549,,0.1644574999809265,
2,,1599,,0.1909743845462799,
2,,1649,,0.20533497631549835,
2,,1699,,0.4801914691925049,
2,,1749,,0.21021290123462677,
2,,1760,,,0.43994376063346863
2,,1760,0.2704515755176544,,
,0.0005,1761,,,
3,,1799,,0.25279054045677185,
3,,1849,,0.2978954017162323,
3,,1899,,0.1766163855791092,
3,,1949,,0.29725560545921326,
3,,1999,,0.6396925449371338,
3,,2049,,0.19600647687911987,
3,,2099,,0.10424407571554184,
3,,2149,,-0.0067069996148347855,
3,,2199,,0.19467392563819885,
3,,2249,,0.1742551028728485,
3,,2299,,0.23459307849407196,
3,,2347,,,0.13854071497917175
3,,2347,0.19383640587329865,,
,0.0005,2348,,,
4,,2349,,0.16779112815856934,
4,,2399,,0.2092682421207428,
4,,2449,,0.12574581801891327,
4,,2499,,0.10798827558755875,
4,,2549,,0.2696056067943573,
4,,2599,,0.12279433757066727,
4,,2649,,0.1500474512577057,
4,,2699,,0.08715809136629105,
4,,2749,,0.11129138618707657,
4,,2799,,0.055756110697984695,
4,,2849,,0.032578740268945694,
4,,2899,,0.17513838410377502,
4,,2934,,,0.16427558660507202
4,,2934,0.12551897764205933,,
,0.0005,2935,,,
5,,2949,,-0.0040213740430772305,
5,,2999,,0.04493723437190056,
5,,3049,,0.027125932276248932,
5,,3099,,0.09990759938955307,
5,,3149,,0.0077019366435706615,
5,,3199,,0.1103411391377449,
5,,3249,,0.25327068567276,
5,,3299,,0.052630770951509476,
5,,3349,,-0.02269677259027958,
5,,3399,,0.03540723770856857,
5,,3449,,0.04753677919507027,
5,,3499,,0.01712951250374317,
5,,3521,,,0.041914522647857666
5,,3521,0.09177911281585693,,
,0.0005,3522,,,
6,,3549,,-0.03438369929790497,
6,,3599,,-0.030716251581907272,
6,,3649,,-0.016716929152607918,
6,,3699,,-0.009822899475693703,
6,,3749,,-0.03409991040825844,
6,,3799,,-0.025054173544049263,
6,,3849,,0.09451949596405029,
6,,3899,,-0.03723928704857826,
6,,3949,,0.053276266902685165,
6,,3999,,-0.027205483987927437,
6,,4049,,-0.09190142899751663,
6,,4099,,0.027880379930138588,
6,,4108,,,0.054395511746406555
6,,4108,0.04210289567708969,,
,0.0005,4109,,,
7,,4149,,-0.09094572067260742,
7,,4199,,0.01767711527645588,
7,,4249,,-0.07856820523738861,
7,,4299,,0.08024818450212479,
