col1_1,haloid,galid,redshift,ra,dec,m_vir,V_vir,r_vir,mhalo,mstar,mcold,Zstar,Zcold,mstardot,sfr_ave,meanage,angular_size,ellipticity,pos_angle,sersic_index,UV1500_rest,UV2300_rest,UV2800_rest,galex_FUV,galex_NUV,acsf435w,acsf606w,acsf775w,acsf814w,acsf850lp,wfc3f275w,wfc3f336w,wfc3f105w,wfc3f125w,wfc3f160w,NIRCam_F070W,NIRCam_F090W,NIRCam_F115W,NIRCam_F150W,NIRCam_F200W,NIRCam_F277W,NIRCam_F356W,NIRCam_F444W,NIRCam_F140M,NIRCam_F162M,NIRCam_F182M,NIRCam_F210M,NIRCam_F250M,NIRCam_F335M,NIRCam_F360M,NIRCam_F410M,NIRCam_F430M,NIRCam_F460M,NIRCam_F480M,irac_ch1,irac_ch2,irac_ch3,irac_ch4,MIRI_F560W,MIRI_F770W,MIRI_F1000W,MIRI_F1130W,MIRI_F1280W,MIRI_F1500W,MIRI_F1800W,MIRI_F2100W,MIRI_F2550W,x_1,y_1,col1_2,id,location,morphology,x_2,y_2,sph,disk,irr,ps,Separation
1346277,1571511945,1,1.003384,214.98273,52.907207,6.7433628,67.682268,0.063148438,6.7433628,0.021344845,0.044710431,0.06757753,0.10964988,0.028000589,0.028378318,2.0119099,0.096476,1.17E-4,2.628048,3.049624,-15.089294,-15.172085,-15.355722,31.482286,28.608932,28.238425,27.966348,27.090717,26.9504,26.615019,28.353803,28.302077,26.41405,26.22911,26.106728,27.48717,26.604869,26.335398,26.115884,26.014957,26.01745,26.031913,26.314157,26.145549,26.07681,26.020005,26.011885,26.040458,25.96705,26.048812,26.195022,26.267863,26.409938,26.546336,26.025810870396718,26.354935241545768,26.763500229772852,27.236779621084303,7.3832589E-8,4.8465107E-8,5.4620573E-8,8.2206443E-8,7.6248802E-8,1.0435937E-7,6.9632342E-8,6.3231395E-8,1.0674984E-7,890,403,117,118,"[890, 403]","[0.0006615789340058807, 7.597476536857651e-05, 0.0, 0.9992624463006256]",890,403,6.615789340058807E-4,7.597476536857651E-5,0.0,0.9992624463006256,0.0
1372707,1652448309,1,0.921044,214.98564,52.91217,1.8746313,43.35926,0.042770159,1.8746313,0.0017220737,0.010475188,0.019780281,0.031960639,0.0028765653,0.0031601229,2.4325022,0.048587,0.343563,97.942624,4.924676,-12.819314,-12.824004,-12.954617,33.30936,30.566267,30.404723,30.163278,29.307426,29.221703,29.042986,30.414745,30.412789,28.924497,28.751724,28.72212,29.659474,29.043495,28.8044,28.728048,28.742767,28.843309,28.976314,29.307768,28.736766,28.716511,28.714373,28.771272,28.839094,28.905015,29.015587,29.189437,29.284004,29.416253,29.570817,28.972803759095783,29.35080378308976,29.742480806518095,30.234223622336998,4.7009283E-9,3.0383728E-9,4.4535214E-9,5.25343E-9,5.100843E-9,7.4735167E-9,3.3987111E-9,5.1700927E-9,6.1455807E-9,659,991,95,96,"[659, 991]","[0.0, 0.0, 0.0, 1.0]",659,991,0.0,0.0,0.0,1.0,0.0
1382328,1691961285,1,0.888683,214.98183,52.912544,3.5648968,53.319515,0.053782734,3.5648968,0.0040289858,0.024424004,0.027458751,0.035187559,0.0087427408,0.0087861827,2.2599483,0.080352,0.47209,116.271301,2.216126,-13.817426,-13.840995,-13.96982,32.209741,29.517673,29.311487,29.035883,28.142339,28.066343,27.907829,29.335918,29.316904,27.798513,27.641037,27.61981,28.492399,27.913404,27.686556,27.625724,27.641698,27.731992,27.880337,28.216811,27.632869,27.613221,27.613327,27.671114,27.726,27.810991,27.918328,28.097477,28.182001,28.350106,28.480229,27.87812662061618,28.25970264999866,28.640745148758413,29.127086873692882,1.2912633E-8,8.3388396E-9,2.847346E-8,3.3911703E-8,3.505633E-8,5.4393305E-8,1.9510848E-8,3.9616217E-8,4.0888223E-8,421,844,56,57,"[421, 844]","[0.002979054159094884, 3.547499766219334e-05, 0.0, 0.996985470843243]",421,844,0.002979054159094884,3.547499766219334E-5,0.0,0.996985470843243,0.0
1389115,1731293608,1,0.836909,214.98279,52.912369,4.6622419,57.606659,0.060253532,4.6622419,0.0080910862,0.037136304,0.040436487,0.069413643,0.011053574,0.011329734,2.5162082,0.166473,0.240635,40.591721,1.414025,-14.123627,-14.181437,-14.344067,31.354588,29.030882,28.835695,28.403501,27.477244,27.406934,27.239722,28.895513,28.860412,27.106697,26.930083,26.874492,27.790055,27.25304,26.983335,26.883808,26.871176,26.897148,27.059015,27.409992,26.902175,26.858805,26.849439,26.894523,26.89988,26.993711,27.09221,27.28186,27.365201,27.583439,27.639358,27.058236393263265,27.456744881173755,27.83382753818948,28.29244768815574,2.6930852E-8,1.7131862E-8,3.6654995E-8,3.9539878E-8,3.9807124E-8,5.283366E-8,1.7529309E-8,4.5102328E-8,3.3124409E-8,487,874,67,68,"[487, 874]","[0.0016582065302784457, 0.002957894992688121, 0.0015240843308804055, 0.993859814146153]",487,874,0.0016582065302784457,0.002957894992688121,0.0015240843308804055,0.993859814146153,0.0
1389667,1731295897,1,0.83745,214.98085,52.911983,6.6283186,64.783497,0.06773421,6.6283186,0.023290869,0.074651469,0.070418824,0.10660474,0.031838661,0.033427543,3.0127405,0.149047,0.214764,114.772351,2.756528,-15.145714,-15.142399,-15.263133,30.309974,27.966628,27.880576,27.504933,26.598053,26.506486,26.294225,27.868523,27.859957,26.153413,25.95951,25.865725,26.916568,26.312,26.023534,25.880801,25.813404,25.784187,25.922895,26.275627,25.912956,25.837284,25.80492,25.82446,25.80123,25.859725,25.95513,26.141809,26.232636,26.459088,26.508194,25.922124215575586,26.32464835694072,26.694459801607593,27.148012142632645,7.6990428E-8,4.841084E-8,1.2602727E-7,1.384374E-7,1.4088782E-7,1.9055183E-7,6.1307729E-8,1.6256433E-7,1.1874024E-7,412,747,53,54,"[412, 746]","[0.0046735896091838975, 0.00022043892533907055, 6.138851005549142e-05, 0.9950445829554215]",412,746,0.0046735896091838975,2.2043892533907055E-4,6.138851005549142E-5,0.9950445829554215,1.0
1391255,1731308594,1,0.850641,214.97935,52.908375,7.6342183,68.118985,0.070562016,7.6342183,0.024714644,0.056944842,0.074991073,0.12407399,0.039369286,0.041947451,2.3449869,0.137527,0.027802,27.084374,1.609596,-15.358647,-15.385878,-15.509001,30.314238,27.836239,27.669932,27.306336,26.391344,26.29767,26.082747,27.689574,27.660191,25.951521,25.772757,25.678143,26.711249,26.101909,25.83453,25.69371,25.61719,25.586595,25.708759,26.058299,25.726743,25.648133,25.610792,25.625595,25.601525,25.647203,25.740241,25.923135,26.0127,26.248303,26.310249,25.70793683869593,26.107908704004558,26.475314149309305,26.942637725577377,9.4401917E-8,5.967146E-8,1.6447379E-7,1.8470336E-7,1.8784981E-7,2.6496886E-7,8.5764003E-8,2.1498901E-7,1.7458212E-7,614,349,89,90,"[614, 349]","[0.21164810247450652, 0.7700941554922348, 0.012158429330475722, 0.0060993127027829065]",614,349,0.21164810247450652,0.7700941554922348,0.012158429330475722,0.0060993127027829065,0.0
1391385,1731309695,1,0.844356,214.97595,52.910549,5.6917404,61.676431,0.064171909,5.6917404,0.015355447,0.074535738,0.0559813,0.096508716,0.016243043,0.016385902,2.4689531,0.244352,0.100038,51.693923,1.919559,-14.507713,-14.582304,-14.76965,30.948895,28.643379,28.454666,27.978909,27.01675,26.930256,26.722383,28.528262,28.488604,26.558698,26.357918,26.261942,27.346341,26.738909,26.423302,26.275593,26.224455,26.212258,26.354629,26.706602,26.303477,26.238044,26.212496,26.238478,26.221917,26.290583,26.3875,26.575854,26.662217,26.886538,26.94748,26.353975212398808,26.75495571847653,27.132209832572862,27.623527666532055,5.1462786E-8,3.2682354E-8,4.8061869E-8,5.0322386E-8,4.9091271E-8,6.323648E-8,2.2917789E-8,5.2255146E-8,4.1795146E-8,257,384,31,32,"[257, 384]","[0.0, 0.01488052091082116, 0.9557011689656081, 0.029418310123570723]",257,384,0.0,0.01488052091082116,0.9557011689656081,0.029418310123570723,0.0
1405507,1790279905,1,0.802144,214.97954,52.911572,6.6961652,64.460403,0.06911108,6.6961652,0.017139241,0.072969988,0.054908182,0.076376261,0.034796558,0.036535662,2.6855526,0.155889,0.010228,32.806798,1.771006,-15.248003,-15.221339,-15.307469,29.972832,27.764551,27.707192,27.353049,26.514858,26.443001,26.278823,27.674872,27.672817,26.154383,26.01314,25.972052,26.790571,26.302087,26.060458,25.981244,25.959385,25.958628,26.140341,26.495608,26.002855,25.948444,25.941211,25.975571,25.968782,26.07552,26.167074,26.367663,26.464004,26.650931,26.682296,26.138274639210117,26.53905914778985,26.9158716167658,27.21287462474494,6.262475E-8,3.9212839E-8,1.4702654E-7,1.5331692E-7,1.6918537E-7,2.0512828E-7,6.4894112E-8,2.0493193E-7,1.0698884E-7,372,647,47,48,"[373, 647]","[0.5981611033337009, 0.37170738200418246, 0.016976400805209506, 0.013155113856907166]",373,647,0.5981611033337009,0.37170738200418246,0.016976400805209506,0.013155113856907166,1.0
1409018,1808450882,1,0.785972,214.97386,52.910248,9.5088496,72.172975,0.078284159,9.5088496,0.03249795,0.094292451,0.074852301,0.12464942,0.068132665,0.073987156,1.8980128,0.181719,0.183502,70.528476,1.42639,-15.943951,-16.003795,-16.135821,29.305191,27.076505,26.867962,26.398503,25.500494,25.428677,25.262273,26.933565,26.877265,25.151423,25.010423,24.946884,25.776327,25.283513,25.059131,24.957165,24.925168,24.904661,25.081258,25.432834,24.982056,24.919485,24.909773,24.937066,24.921321,25.019186,25.102348,25.306795,25.408837,25.575225,25.584839,25.0787661366644,25.473447147725125,25.850883300407965,26.042421289149168,1.6619606E-7,1.0572973E-7,4.505442E-7,4.6923005E-7,5.5143184E-7,6.2382118E-7,2.0484758E-7,6.7213676E-7,3.0506717E-7,166,258,19,20,"[166, 258]","[0.0032444514508216575, 0.9848846413914919, 0.009625361916784071, 0.0022455452409023283]",166,258,0.0032444514508216575,0.9848846413914919,0.009625361916784071,0.0022455452409023283,0.0
1409212,1808452188,1,0.788224,214.9886,52.91003,10.353982,74.291038,0.080451001,10.353982,0.060598924,4.115295E-6,0.11881276,0.1318305,0.001205104,0.23114437,3.19223,0.142595,0.045155,51.851563,2.635379,-16.392461,-16.41111,-16.518082,29.150353,26.636842,26.467425,26.012099,25.188194,25.073289,24.843078,26.486106,26.430054,24.777098,24.619666,24.604139,25.413072,24.897208,24.663765,24.61711,24.552734,24.508528,24.693873,25.062883,24.647711,24.571299,24.547417,24.556501,24.529867,24.629042,24.719277,24.931638,25.050228,25.206253,25.232976,24.69157909917643,25.108034333066477,25.479916279890702,26.03733685349205,2.3503747E-7,1.4471117E-7,8.7971676E-8,7.2339115E-8,5.8139193E-8,4.4353034E-8,3.5219161E-8,3.7389272E-8,3.966436E-8,989,938,129,130,"[989, 938]","[0.8690627883659182, 0.010861305328780602, 0.003296246612656349, 0.11677965969264482]",989,938,0.8690627883659182,0.010861305328780602,0.003296246612656349,0.11677965969264482,0.0
